,,ENERJET,,CAPSA,,,
,"S320, S350, S400, S420, S430, ",,,1497596,15MBI,,
,,,,,,,
Land-Rover,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,DEFENDER 110,1839616,13S85,1497588,15APCG,,
,DEFENDER 90,1839616,13S85,1497588,15APCG,,
,"DISCO VERY (HSE, S, SD, Y SE7)",,,1497588,15APCG,,
,"DISCOVERY,  DISCOVERY LS,  DISCOVERY XS",,,1497588,15APCG,,
,"FREELANDER (BASE AUTOMA, SE, SPORT)",1862936,15MB90,1497588,15APCG,,
,RANGER ROVER,,,1497588,15APCG,,
,RANGER ROVER V8 4.OL V8 4.6L ,,,1497588,15APCG,,
,,,,,,,
FORD,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,RANGER,1862936,15MB90,1497588,15APCG,,
,"BRONCO, II",1839640,15M99,1497588,15APCG,,
,ECOSPORT,1839632,13W75,140962X,13WI,,
,ESCORT,,,140962X,13WI,,
,"F150,250,350,800, 8000, 6000, D500,LTI9000",,,1635239,1731P,,
,"FESTIVA, FIESTA, KA,  GRADADA, ORION",1839632,13W75,1409603,11WI,,
,RANGER /TAURUS ,1862936,15MB90,1497596,15MBI,,
,CONTOUR/MONDEO,,,1497596,15MBI,,
,EXPEDITION,,,1497596,15MBI,,
,EXPLORER/RANGER 3.0/4.0,,,1497588,15APCG,,
,MERCURY,,,1497596,15MBI,,
,,,,,,,
ISUZU,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,"AMIGO,  AXIOM,  FARGO",,,1497588,15APCG,,
,GEMINI,,,1409638,15APCGI,,
,IMPULSE,,,1497588,15APCG,,
,JOURNEY,,,1497588,15APCG,,
,OASIS,,,1497588,15APCG,,
,RODEO,,,1497588,15APCG,,
,TROPER,,,1497588,15APCG,,
,,,,,,,
CITROEN,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,AMI 8,,,140962X,13WI,,
,AX ALLURE,1839632,13W75,140962X,13WI,,
,C15 DIESEL,,,140962X,13WI,,
,XANTIA (SX-ACTIVAS),,,140962X,13WI,,
,XM - V16 - BX - GTI,,,140962X,13WI,,
,XSARA SX 16V,1839632,13W75,140962X,13WI,,
,"ZX - XANTIA BREAK, ZX DIESEL",,,140962X,13WI,,
,AX DIESEL,,,140962X,13WI,,
,BERLINGO,,,1497596,15MBI,,
,C3,,,140962X,13WI,,
,"C4 HDI,",,,,,,
,SAXO SX1.4 - VTR1.6,,,140962X,13WI,,
,SAXO VTS 16V,,,140962X,13WI,,
,JUNPER 2.5 DIESEL,1862936,15MB90,1497596,15MBI,,
,,,,,,,
FAW,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,F1,,,140962X,13WI,,
,"F4,  F5",,,140962X,13WI,,
,,,,,,,
PORSCHE,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,911,1862936,15MB90,1497596,15MBI,,
,928,1862936,15MB90,1497596,15MBI,,
,968,,,1497596,15MBI,,
,CARRERA,,,1497596,15MBI,,
,CAYENNE,,,1497596,15MBI,,
,PANAMERA,,,1497596,15MBI,,
,,,,,,,
LADA,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,NIVA,1839632,13W75,1409603,11WI,,
,NIVA DIESEL,,,1409603,11WI,,
,SAMARA,1839632,13W75,1409603,11WI,,
,,,,,,,
RENAUL,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,CLIO,,,140962X,13WI,,
,LOGAN,,,,,,
,LAGUNA,1839632,13W75,140962X,13WI,,
,MEGANE,1862936,15MB90,140962X,13WI,,
,FLUENCE,,,,,,
,DUSTER,,,,,,
,KOLEOS,,,,,,
,SCENIC,1862936,15MB90,140962X,13WI,,
,,,,,,,
,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,PARATI,1862936,15MB90,140962X,13WI,,
,BEETLE,1862936,15MB90,140962X,13WI,,
,BORA,1862936,15MB90,1497596,15MBI,,
,CADDY,1862936,15MB90,1497596,15MBI,,
,CROSSOVER,1862936,15MB90,140962X,13WI,,
,CROSSFOX,1862928,11W63,,,,
,GOL,1862936,15MB90,140962X,13WI,,
,GOLF,,,,,,
,JETTA,1862936,15MB90,1497596,15MBI,,
,KOMBI,1862928 - 1839632,11W63 / 13W75,140962X,13WI,,
,POLO,1862936,15MB90,140962X,13WI,,
,QUANTUM,1862936,15MB90,1497596,15MBI,,
,TOUAREG,,,1497596,15MBI,,
,SEDAN,1862936,15MB90,140962X,13WI,,
,TIGUAN,1862936,15MB90,1497596,15MBI,,
,VANAGON,1862936,15MB90,1497596,15MBI,,
,VENTO,1862936,15MB90,140962X,13WI,,
,ESCARABAJO,1862928 - 1839632,11W63 / 13W75,1409603,11WI,,
,AMAZON,1862928 - 1839632,11W63 / 13W75,1409603,11WI,,
,PASSAT,1862928,11W63,1497596,15MBI,,
,CABRIO,1839632,13W75,1497596,15MBI,,
,,,,,,,
VOLVO,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,C30,1862936,15MB90,,,,
,"S70,  S80, S90, C70",1862936,15MB90,1497596,15MBI,,
,"V40,  V50,  V70,  V90",1862936,15MB90,1497596,15MBI,,
,"XC60, XC70,  XC90",1862936,15MB90,1497596,15MBI,,
,S40,1862928,11W63,1497596,15MBI,,
,"240, 740, 780, 850,  940",1839632,13W75,1497596,15MBI,,
,S60,1839632,13W75,1497596,15MBI,,
,,,,,,,
SEAT,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,IBIZA,,,140962X,13WI,,
,LEON FR,,,1497596,15MBI,,
,CUPRA,,,,,,
,,,,,,,
MAHINDRA,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,SCORPIO,,,1497588,15APCG,,
,,,,,,,
SSANG YONG,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,ACTYON,,,1497588,15APCG,,
,KORANDO,,,1497588,15APCG,,
,KYRON,,,,,,
,REXTON,,,1497588,15APCG,,
,STAVIC,,,1497588,15APCG,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
