,DODGE,DODGE5,"MONACO,SPIRIT,CALIBER,COLT,RAIDER",,,CAPSA,15APCGI,1409638
,DODGE,DODGE6,"PALIO (SEDN, HATCHBACK, Y AVENTURE)",,,CAPSA,13API,1409611
,DODGE,DODGE7,SIENA/STRADA/TEMPRA,,,CAPSA,15APCGI,1409638
,DODGE,DODGE8,SPIRIT 2500  3500,,,CAPSA,13TOI,1635220
,FAW,FAW1,F1,,,CAPSA,13API,1409611
,FAW,FAW2,"F4,  F5",,,CAPSA,13WI,140962X
,FIAT,FIAT3,"ALBEA, BRAVO, IDEA, ADVENTURE",,,,,
,FIAT,FIAT3,"ALBEA, BRAVO, IDEA, ADVENTURE",,,CAPSA,13API,1409611
,FIAT,FIAT4,"DUCATO, CARAVAN , PALIO, CLUB SCR",,,CAPSA,13API,1409611
,FIAT,FIAT4,"DUCATO, CARAVAN , PALIO, CLUB SCR",,,ENERJET,13S85,1839616
,FIAT,FIAT5,"PANADA, Y STILO",,,ENERJET,13W75,1839632
,FIAT,FIAT6,"UNO, MILLE, 70S, 1300, 128 SAN REMO, 1300, ",,,ENERJET,13W75,1839632
,FIAT,FIAT6,"UNO, MILLE, 70S, 1300, 128 SAN REMO, 1300, ",,,ENERJET,15M99,1839640
,FORD,FORD1,"BRONCO, II",,,CAPSA,13API,1409611
,FORD,FORD1,"BRONCO, II",,,CAPSA,1135,1634798
,FORD,FORD2,CONTOUR/MONDEO,,,CAPSA,13W,149757X
,FORD,FORD3,ECOSPORT,,,CAPSA,15APCG,1497588
,FORD,FORD3,ECOSPORT,,,CAPSA,10FDI,1511653
,FORD,FORD4,ESCORT,,,CAPSA,15APCG,1497588
,FORD,FORD5,EXPEDITION,,,CAPSA,1135,1634798
,FORD,FORD6,EXPLORER/RANGER 3.0/4.0,,,CAPSA,1135,1634798
,FORD,FORD7,"F150,250,350,800, 8000, 6000, D500,LTI9000",,,CAPSA,15MBI,1497596
,FORD,FORD8,"FESTIVA, FIESTA, KA,  GRADADA, ORION",,,CAPSA,15APCG,1497588
,FORD,FORD8,"FESTIVA, FIESTA, KA,  GRADADA, ORION",,,CAPSA,15APCG,1497588
,FORD,FORD9,MERCURY,,,CAPSA,15APCG,1497588
,FORD,FORD10,RANGER,,,,,
,FORD,FORD10,RANGER,,,,,
,FORD,FORD11,RANGER /TAURUS ,,,CAPSA,15APCG,1497588
,FORD,FORD11,RANGER /TAURUS ,,,CAPSA,15APCG,1497588
,HONDA,HONDA1,ACCORD - 4 CIL,,,CAPSA,11WI,1409603
,HONDA,HONDA1,ACCORD - 4 CIL,,,CAPSA,13API,1409611
,HONDA,HONDA2,ACCORD - 6 CIL,,,CAPSA,15APCGI,1409638
,HONDA,HONDA3,CIVIC,,,CAPSA,13API,1409611
,HONDA,HONDA3,CIVIC,,,ENERJET,11D56,1839608
,HONDA,HONDA4,CR-V   - RVI,,,ENERJET,15M99,1839640
,HONDA,HONDA5,ELANTRA,,,ENERJET,13W75 /15MB90,1839632  -  1862936
,HONDA,HONDA6,INTEGRA,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,HONDA,HONDA6,INTEGRA,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,HONDA,HONDA7,PILOT,,,CAPSA,10FDI,1511653
,HONDA,HONDA8,"PRELUDE/CRV,  LEGEND",,,CAPSA,15APCG,1497588
,HONDA,HONDA9,RVSI,,,CAPSA,15MBI,1497596
,HONDA,HONDA10,TORNEO,,,CAPSA,11WI,1409603
,HYUNDAI,HYUNDAI1,ACCENT,,,CAPSA,13W,149757X
,HYUNDAI,HYUNDAI1,ACCENT,,,CAPSA,13WI,140962X
,HYUNDAI,HYUNDAI2,"AZERA, MATRIX",,,CAPSA,13WI,140962X
,HYUNDAI,HYUNDAI3,"CHASIS, GALLOPER",,,ENERJET,15MB90,1862936
,HYUNDAI,HYUNDAI4,COUPE TUBURON,,,ENERJET,15MB90,1862936
,HYUNDAI,HYUNDAI5,ELANTRA,,,ENERJET,11W63 - 13W75,1862928 - 1839632
,HYUNDAI,HYUNDAI6,EXCELL,,,ENERJET,11W63 - 13W75,1862928 - 1839632
,HYUNDAI,HYUNDAI6,EXCELL,,,CAPSA,15MBI,1497596
,HYUNDAI,HYUNDAI7,GENESIS,,,CAPSA,15MBI,1497596
