,AUDI,"TT, TT1.8, TT3.2, TTS2.0",,,CAPSA,15MBI,1497596
,BMW,316I,,,ENERJET,15MB90,1862936
,BMW,318-Z3,,,ENERJET,15MB90,1862936
,BMW,325I-Z3  1.9-523I,,,ENERJET,15MB90,1862936
,BMW,"520I, 528I,  540I-735I",,,ENERJET,15MB90,1862936
,BMW,"840CI, 850CI",,,ENERJET,15MB90,1862936
,BMW,316I,,,CAPSA,15MBI,1497596
,BMW,318-Z3,,,CAPSA,15MBI,1497596
,BMW,325I-Z3  1.9-523I,,,CAPSA,15MBI,1497596
,BMW,"520I, 528I,  540I-735I",,,CAPSA,15MBI,1497596
,BMW,"840CI, 850CI",,,CAPSA,15MBI,1497596
,MAZDA,MX-5,,,ENERJET,11T56,1862901
,MAZDA,3,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,MAZDA,323,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,MAZDA,626,,,ENERJET,11W63 / 13W75,1862928 - 1839632
,MAZDA,"CX-9, RX-7",,,ENERJET,13AD80,
,MAZDA,MX-5,,,CAPSA,13API,1409611
,MAZDA,3,,,CAPSA,11WI,1409603
,MAZDA,323,,,CAPSA,11WI,1409603
,MAZDA,626,,,CAPSA,13WI,140962X
,MAZDA,"5,  CX-7,  RX-8",,,CAPSA,13WI,140962X
,MAZDA,"6,  B2900, B2500",,,CAPSA,15APCG,1497588
,MAZDA,"ASAHI - IB1600,  MX-6",,,CAPSA,15APCG,1497588
,MAZDA,B2300 - B3000 - B4000,,,CAPSA,15APCG,1497588
,MAZDA,"CX-9, RX-7",,,CAPSA,13API,1409611
,MAZDA,DEMIO,,,CAPSA,10FDI,1511653
,SUZUKI,"MARUTI, FRONTE",,,ENERJET,11D56,1839608
,SUZUKI,GRAN NOMADE,,,ENERJET,15M99,1839640
,SUZUKI,AEREO,,,ENERJET,11T56,1862901
,SUZUKI,"APV,  BALENO,  CARRY BAN,  ",,,ENERJET,11T56,1862901
,SUZUKI,SX4,,,ENERJET,11T56,1862901
